1911,66700
1912,142000
1913,74500
1914,130000
1915,182000
1916,85700
1917,73700
1918,65300
1919,133000
1920,27900
1921,130000
1922,59700
1923,60400
1924,25800
1925,175000
1926,102000
1927,300000
1928,133500
1929,133500
1930,133500
1931,133500
1932,96400
1933,46200
1934,51100
1935,60000
1936,162000
1937,121000
1938,218000
1939,71000
1940,237000
1941,124000
1942,151000
1943,162000
1944,32300
1945,102000
1946,209000
1947,73900
1948,202000
1949,95000
1950,92600
1951,173000
1952,195000
1953,297000
1954,133000
1955,74200
1956,425000
1957,160000
1958,236000
1959,175000
1960,195000
1961,123000
1962,82000
1963,176000
1964,162000
1965,557000
1966,152000
1967,170000
1968,190000
1969,177000
1970,331000
1971,334000
1972,360000
1973,97800
1974,529000
1975,198000
1976,76900
1977,15200
1978,312000
1979,98800
1980,234000
1981,81400
1982,384000
1983,282000
1984,172000
1985,149000
1986,459000
1987,81300
1988,113000
1989,154000
1990,131000
1991,70500
1992,59200
1993,164000
1994,46000
1995,133500
1996,165000
1997,133500
1998,240000
1999,141000
2000,141000
2001,25500
2002,134000
2003,181000
2004,195000
2005,100000
2006,342000
2007,97400
2008,72300
2009,82400
2010,69400
2011,95100
2012,156000
2013,140000
2014,92000
2015,172000
2016,199000
2017,265000
2018,100000
